                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.70355             0.997746              0.99325             0.986521             0.966509             0.933388             0.861879             0.727808 
                 0.4              5.42333             0.995644              0.98698             0.974044             0.935878             0.873128             0.740037             0.494851 
                 0.6              8.17445             0.993805             0.981513             0.963193             0.909527             0.821801             0.638659             0.306553 
                 0.8              10.9699             0.992271             0.976968             0.954192             0.887864             0.779951             0.557624             0.159779 
                   1              13.8195             0.991026             0.973283             0.946905             0.870453             0.746515             0.493872            0.0465177 
                 1.2              16.7299             0.990014             0.970294             0.940997             0.856412             0.719649             0.443203           -0.0423295 
                 1.4              19.7033             0.989171             0.967809             0.936087             0.844783             0.697445             0.401645            -0.114576 
                 1.6              22.7383             0.988443              0.96566             0.931839             0.834756             0.678329             0.366098            -0.175935 
                 1.8              25.8293             0.987786             0.963722              0.92801             0.825747             0.661188             0.334428            -0.230175 
                   2              28.9671             0.987172             0.961916             0.924441             0.817374             0.645299             0.305279            -0.279627 
                 2.2              32.1391             0.986585             0.960188             0.921033             0.809406             0.630225             0.277837            -0.325678 
                 2.4              35.3296             0.986014             0.958512             0.917729             0.801708             0.615711              0.25163            -0.369141 
                 2.6              38.5197             0.985455             0.956872             0.914499             0.794209             0.601619             0.226391            -0.410495 
                 2.8              41.6883             0.984906             0.955261             0.911329             0.786872             0.587876             0.201974            -0.450023 
                   3              44.8122             0.984364             0.953676             0.908213             0.779682             0.574453             0.178309            -0.487887 
                 3.2              47.8666             0.983832             0.952118             0.905152             0.772642             0.561348             0.155377            -0.524163 
                 3.4              50.8257             0.983309              0.95059             0.902152             0.765763             0.548581               0.1332            -0.558846 
                 3.6              53.6638             0.982798             0.949098             0.899226             0.759071             0.536195             0.111847            -0.591855 
                 3.8              56.3556             0.982302              0.94765             0.896387             0.752603             0.524261            0.0914241            -0.623044 
                   4              58.8787             0.981825             0.946258             0.893661             0.746407             0.512864            0.0720691            -0.652237 
                 4.2              61.2139              0.98137             0.944933             0.891069             0.740533             0.502094            0.0539173            -0.679268 
                 4.4              63.3462             0.980942             0.943687             0.888633             0.735029             0.492033            0.0370911             -0.70399 
                 4.6              65.2657             0.980543             0.942529             0.886372             0.729936              0.48276            0.0217075            -0.726259 
                 4.8              66.9673             0.980179              0.94147             0.884308             0.725301             0.474353           0.00789066            -0.745918 
                   5              68.4506             0.979852             0.940521             0.882464             0.721174             0.466905          -0.00422979            -0.762823 
                 5.2              69.7185             0.979566             0.939696             0.880859             0.717596             0.460481           -0.0145754            -0.776955 
                 5.4              70.7749             0.979326             0.938998             0.879505             0.714584             0.455097           -0.0231714            -0.788488 
                 5.6              71.6278             0.979127             0.938426             0.878399             0.712128              0.45072           -0.0301179              -0.7977 
                 5.8              72.2913             0.978972             0.937977              0.87753             0.710201             0.447287           -0.0355514            -0.804876 
                   6              72.7854             0.978856             0.937641             0.876878             0.708756             0.444712           -0.0396313            -0.810279 
                 6.2              73.1357             0.978774             0.937402             0.876416             0.707731             0.442881           -0.0425412            -0.814165 
                 6.4              73.3708             0.978719             0.937244             0.876109              0.70705              0.44166            -0.044491            -0.816799 
                 6.6              73.5191             0.978686             0.937148              0.87592             0.706629             0.440904           -0.0457062            -0.818466 
                 6.8              73.6065             0.978666             0.937092             0.875813              0.70639             0.440473           -0.0464047            -0.819441 
                   7              73.6544             0.978656             0.937064             0.875757             0.706266             0.440248           -0.0467724            -0.819964 
                 7.2              73.6786             0.978652              0.93705             0.875731             0.706208             0.440141           -0.0469486             -0.82022 
                 7.4              73.6897              0.97865             0.937045              0.87572             0.706183             0.440095            -0.047025            -0.820333 
                 7.6              73.6944             0.978649             0.937042             0.875716             0.706173             0.440077           -0.0470549            -0.820378 
                 7.8              73.6962             0.978649             0.937042             0.875715              0.70617             0.440071           -0.0470653            -0.820395 
                   8              73.6968             0.978649             0.937041             0.875714             0.706169             0.440069           -0.0470685              -0.8204 
                 8.2              73.6969             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470694            -0.820402 
                 8.4               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470696            -0.820402 
                 8.6               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                 8.8               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                   9               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                 9.2               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                 9.4               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                 9.6               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                 9.8               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                  10               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                10.2               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                10.4               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                10.6               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                10.8               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                  11               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                11.2               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                11.4               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                11.6               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                11.8               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
                  12               73.697             0.978649             0.937042             0.875714             0.706169             0.440069           -0.0470697            -0.820402 
