            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.63248        0.99493       0.984858       0.969829       0.925615       0.853101       0.700273       0.420558 
           0.4        11.3029       0.990275       0.971072        0.94256       0.860182       0.727094       0.457871     -0.0145477 
           0.6        17.0465       0.986308        0.95941       0.919636       0.806483       0.626002       0.273825      -0.320845 
           0.8        22.8935       0.983102        0.95004       0.901295       0.764349        0.54808       0.138357      -0.531504 
             1        28.8667       0.980568       0.942662       0.886886       0.731722       0.488445      0.0381612      -0.679441 
           1.2        34.9797       0.978541       0.936777       0.875397       0.705968       0.441681     -0.0386043      -0.788913 
           1.4        41.2358       0.976856       0.931893       0.865863       0.684756       0.403323      -0.100503      -0.874965 
           1.6        47.6273       0.975384       0.927636        0.85755       0.666391       0.370255         -0.153      -0.946047 
           1.8        54.1358       0.974041       0.923755       0.849981       0.649784       0.340533       -0.19932       -1.00669 
             2        60.7332       0.972772       0.920102       0.842869       0.634304       0.313038       -0.24126       -1.05929 
           2.2        67.3831       0.971554       0.916598       0.836065       0.619611       0.287176      -0.279791       -1.10523 
           2.4        74.0413       0.970372       0.913209         0.8295       0.605549       0.262655       -0.31543       -1.14535 
           2.6        80.6582       0.969223       0.909923       0.823152        0.59206       0.239352      -0.348468       -1.18032 
           2.8        87.1793       0.968109       0.906745       0.817026       0.579142       0.217229       -0.37909       -1.21074 
             3        93.5467       0.967034       0.903684       0.811141       0.566817       0.196288      -0.407432       -1.23718 
           3.2        99.7015       0.966003       0.900757       0.805521       0.555122       0.176553      -0.433601       -1.26014 
           3.4        105.585       0.965025        0.89798       0.800195       0.544103       0.158063      -0.457678       -1.28009 
           3.6        111.141       0.964104        0.89537       0.795192       0.533805       0.140862      -0.479726       -1.29743 
           3.8        116.321       0.963246       0.892943       0.790542       0.524276       0.124998      -0.499788       -1.31249 
             4        121.082       0.962458       0.890714       0.786272       0.515554       0.110517      -0.517897       -1.32552 
           4.2        125.395       0.961743       0.888693       0.782397       0.507668      0.0974505      -0.534071        -1.3367 
           4.4        129.241       0.961102       0.886884       0.778931       0.500633      0.0858215      -0.548316       -1.34609 
