            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        7.10335       0.993841       0.981624       0.963412       0.910053        0.82282       0.640643       0.310179 
           0.4        14.2524       0.988159        0.96484       0.930283        0.83125       0.672275        0.35663      -0.186642 
           0.6        21.4898       0.983272       0.950537       0.902261       0.766546       0.552101       0.145191      -0.521203 
           0.8        28.8522       0.979278       0.938928       0.879647       0.715593        0.45961    -0.00796701      -0.741117 
             1        36.3675       0.976087       0.929704       0.861732       0.675971       0.388832      -0.119801      -0.889169 
           1.2        44.0528       0.973519       0.922305       0.847377       0.644641       0.333399      -0.204529      -0.994863 
           1.4        51.9132       0.971383       0.916166       0.835463       0.618898       0.288119      -0.272069       -1.07541 
           1.6        59.9407       0.969525       0.910836       0.825119        0.59674       0.249361      -0.328607       -1.13989 
           1.8        68.1154       0.967837       0.906005       0.815752        0.57685       0.214821      -0.377761       -1.19287 
             2        76.4055       0.966251        0.90148       0.806998       0.558436        0.18314      -0.421578       -1.23676 
           2.2        84.7691       0.964731       0.897156       0.798652       0.541051       0.153552      -0.461211       -1.27295 
           2.4        93.1557       0.963258       0.892975       0.790607       0.524461       0.125646      -0.497334       -1.30243 
           2.6        101.507       0.961823       0.888915       0.782817       0.508557      0.0992055      -0.530381       -1.32606 
           2.8        109.761       0.960425       0.884971       0.775272       0.493296      0.0741169      -0.560666       -1.34463 
             3        117.849       0.959066       0.881148       0.767976        0.47867      0.0503198      -0.588444        -1.3589 
           3.2        125.702       0.957751       0.877455       0.760941       0.464687      0.0277798      -0.613928       -1.36954 
           3.4        133.252       0.956483       0.873902       0.754185       0.451362       0.006481      -0.637285        -1.3771 
           3.6         140.43       0.955265       0.870501       0.747728        0.43872      -0.013559      -0.658608       -1.38199 
           3.8        147.171       0.954108       0.867272       0.741605       0.426821     -0.0322717      -0.677917       -1.38449 
             4         153.42       0.953018       0.864236       0.735862       0.415738     -0.0495605      -0.695216       -1.38497 
           4.2        159.133       0.952005       0.861423       0.730546       0.405545     -0.0653408      -0.710534        -1.3838 
           4.4        164.283       0.951078       0.858851       0.725689       0.396292     -0.0795554      -0.723908       -1.38127 
           4.6        168.858       0.950239       0.856527       0.721314        0.38801     -0.0921681      -0.735368       -1.37759 
           4.8        172.861       0.949492       0.854464       0.717438       0.380723      -0.103151      -0.744945       -1.37298 
             5        176.308        0.94884       0.852667       0.714076       0.374452       -0.11248      -0.752684       -1.36771 
           5.2        179.221       0.948287       0.851145       0.711236       0.369196       -0.12019      -0.758745       -1.36224 
           5.4        181.625       0.947829       0.849889       0.708903       0.364906      -0.126414      -0.763423       -1.35715 
           5.6        183.551       0.947462       0.848883        0.70704       0.361494      -0.131334       -0.76704       -1.35294 
           5.8         185.04       0.947179       0.848108       0.705602       0.358863      -0.135133      -0.769848        -1.3498 
             6        186.145       0.946969       0.847534       0.704536       0.356909      -0.137972      -0.772002       -1.34768 
           6.2        186.928       0.946823       0.847132       0.703785       0.355528          -0.14      -0.773603        -1.3464 
           6.4        187.454       0.946726       0.846866       0.703287       0.354607      -0.141369      -0.774733       -1.34572 
           6.6        187.788       0.946667       0.846703        0.70298       0.354035      -0.142233      -0.775482       -1.34541 
           6.8        187.986       0.946632       0.846609       0.702804       0.353706      -0.142737      -0.775941       -1.34532 
             7        188.096       0.946615       0.846561       0.702712       0.353532      -0.143008      -0.776202       -1.34531 
           7.2        188.153       0.946607       0.846538       0.702668       0.353448      -0.143142      -0.776337       -1.34534 
           7.4         188.18       0.946603       0.846528       0.702649       0.353411      -0.143202      -0.776402       -1.34536 
           7.6        188.192       0.946602       0.846524       0.702642       0.353397      -0.143226       -0.77643       -1.34538 
           7.8        188.197       0.946602       0.846523       0.702639       0.353392      -0.143235       -0.77644       -1.34539 
             8        188.198       0.946601       0.846523       0.702638        0.35339      -0.143238      -0.776444       -1.34539 
           8.2        188.199       0.946601       0.846523       0.702638        0.35339      -0.143239      -0.776445       -1.34539 
           8.4        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           8.6        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           8.8        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
             9        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           9.2        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           9.4        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           9.6        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
           9.8        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
            10        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          10.2        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          10.4        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          10.6        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          10.8        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
            11        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          11.2        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          11.4        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          11.6        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
          11.8        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
            12        188.199       0.946601       0.846523       0.702638       0.353389      -0.143239      -0.776446       -1.34539 
