            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.27396        0.99577       0.987358       0.974794        0.93771       0.876723        0.74725       0.508535 
           0.4        10.5724       0.991888       0.975835       0.951959       0.882538       0.769784       0.538368        0.12609 
           0.6        15.9197       0.988587       0.966099       0.932762       0.837077       0.683299        0.37687      -0.152435 
           0.8        21.3398        0.98594       0.958327       0.917498       0.801508       0.616635       0.256976      -0.348578 
             1        26.8557       0.983884       0.952313       0.905714       0.774379       0.566303       0.168942      -0.486955 
           1.2         32.489       0.982294       0.947675       0.896628       0.753631       0.528017       0.103188      -0.587739 
           1.4        38.2589       0.981036       0.944007       0.889441       0.737307       0.497963       0.052145       -0.66491 
           1.6        44.1807       0.979998       0.940981       0.883504       0.723876       0.473256      0.0104954      -0.727365 
           1.8        50.2651       0.979095       0.938352       0.878346       0.712247       0.451885     -0.0252815      -0.780575 
             2        56.5169       0.978272       0.935958       0.873645       0.701687       0.432518     -0.0574434      -0.827858 
           2.2         62.934        0.97749       0.933687        0.86919       0.691719       0.414297     -0.0874001      -0.871188 
           2.4        69.5075       0.976726        0.93147       0.864847       0.682045       0.396693      -0.115995      -0.911677 
           2.6        76.2214       0.975966       0.929267       0.860536       0.672491       0.379405      -0.143691       -0.94989 
           2.8        83.0541       0.975201       0.927055       0.856217       0.662972       0.362286      -0.170698      -0.986047 
             3        89.9784        0.97443       0.924828       0.851878       0.653459       0.345295      -0.197067       -1.02018 
           3.2        96.9638       0.973652       0.922588       0.847522       0.643965       0.328457      -0.222753       -1.05222 
           3.4        103.977       0.972872       0.920344       0.843168       0.634528       0.311837      -0.247664        -1.0821 
           3.6        110.982       0.972093       0.918108       0.838837       0.625197       0.295521      -0.271691       -1.10975 
           3.8        117.946        0.97132       0.915894        0.83456        0.61603       0.279597      -0.294735       -1.13517 
             4        124.834       0.970559       0.913716        0.83036       0.607078       0.264145      -0.316728       -1.15843 
           4.2        131.617       0.969815       0.911589       0.826261       0.598384       0.249223      -0.337638       -1.17966 
           4.4        138.269       0.969089       0.909518       0.822278       0.589975        0.23486      -0.357481       -1.19905 
           4.6        144.769       0.968384       0.907509       0.818416       0.581852       0.221044      -0.376329       -1.21683 
           4.8        151.105       0.967697       0.905553       0.814659       0.573981         0.2077      -0.394334       -1.23332 
             5        157.268       0.967022       0.903632       0.810969       0.566279       0.194681      -0.411727       -1.24881 
           5.2        163.253       0.966345       0.901709       0.807282       0.558612       0.181771      -0.428768       -1.26346 
           5.4        169.051       0.965647        0.89973       0.803496        0.55078       0.168683       -0.44573       -1.27723 
           5.6        174.633       0.964901       0.897627       0.799504       0.542617       0.155277      -0.462463       -1.28919 
           5.8        179.951       0.964109       0.895408       0.795341       0.534226       0.141807      -0.478567       -1.29918 
             6        184.961       0.963297       0.893143       0.791115       0.525778       0.128379      -0.494278       -1.30811 
           6.2        189.639       0.962478       0.890858       0.786851       0.517288       0.114955      -0.509598       -1.31529 
           6.4        193.969       0.961646       0.888542       0.782536       0.508754       0.101636      -0.524124       -1.31972 
           6.6        197.933       0.960798        0.88619       0.778178       0.500229      0.0885943      -0.537503       -1.32097 
           6.8        201.511       0.959944       0.883829       0.773836       0.491856       0.076132      -0.549247       -1.31848 
