                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              6.05019          -0.00527574          7.26258e-05         -4.79324e-06          1.82474e-05         -0.000120905           0.00090979          -0.00766976 
                 0.4              12.1548           -0.0101402          0.000264801         -9.51887e-06         -1.18472e-05          8.35308e-05         -0.000626016           0.00523815 
                 0.6              18.3635           -0.0143282          0.000527019         -3.55107e-05          2.09873e-05         -0.000121301          0.000906881          -0.00760178 
                 0.8              24.7168           -0.0177765          0.000804199         -6.58662e-05          3.07929e-05         -0.000134018          0.000849462          -0.00620633 
                   1              31.2423            -0.020583            0.0010623         -8.62484e-05         -1.33281e-05          0.000135886         -0.000896906           0.00666249 
                 1.2              37.9524           -0.0229207           0.00130007         -0.000114915         -1.94085e-05          0.000204741          -0.00140605            0.0108903 
                 1.4              44.8422           -0.0249569           0.00152533         -0.000153949          2.30497e-05          1.56326e-06         -0.000115667           0.00143361 
                 1.6              51.8894           -0.0268153           0.00174404         -0.000188069           4.3294e-05         -0.000107912          0.000752801          -0.00614302 
                 1.8              59.0545           -0.0285755           0.00196761         -0.000223725           4.4906e-05         -5.33625e-05          0.000248828           -0.0014819 
                   2              66.2824           -0.0302763           0.00219825         -0.000257384          2.54351e-05           9.2907e-05         -0.000664921           0.00498298 
                 2.2              73.5046           -0.0319328           0.00244084          -0.00030341          4.45142e-05          3.06212e-05         -0.000221831           0.00134939 
                 2.4              80.6423           -0.0335442           0.00269253         -0.000353772          5.73272e-05          3.68789e-05         -0.000340476           0.00253527 
                 2.6              87.6108           -0.0350998           0.00294993         -0.000412678          9.65178e-05         -0.000104219          0.000533527          -0.00385859 
                 2.8              94.3233           -0.0365847           0.00320469         -0.000465325          9.91378e-05         -4.92296e-05          0.000210689          -0.00186176 
                   3              100.696           -0.0379856            0.0034556         -0.000523683          0.000119925         -6.86152e-05           0.00024997          -0.00182321 
                 3.2              106.655           -0.0392884           0.00369492         -0.000577969          0.000127608         -2.10155e-05         -0.000112789           0.00100439 
                 3.4              112.134           -0.0404833           0.00391986         -0.000631381           0.00014184         -9.93012e-06         -0.000256965           0.00236368 
                 3.6              117.085           -0.0415637           0.00412723         -0.000681844          0.000159704         -3.67979e-05         -6.16417e-05          0.000496664 
                 3.8               121.48           -0.0425258           0.00431621         -0.000731267          0.000187571         -0.000107411           0.00030864          -0.00188237 
                   4              125.305           -0.0433662           0.00448315         -0.000770698            0.0001921         -7.35988e-05          0.000110615         -0.000748632 
                 4.2              128.569           -0.0440839           0.00462866         -0.000804036          0.000186655          1.89989e-05         -0.000537793           0.00429486 
                 4.4              131.296           -0.0446793           0.00475426         -0.000839243          0.000209817         -5.79094e-05         -2.95505e-05          0.000214869 
                 4.6              133.517           -0.0451551           0.00485615         -0.000865644          0.000214909         -3.76741e-05         -0.000195236           0.00156883 
                 4.8              135.272           -0.0455214           0.00493654         -0.000888611          0.000224969         -4.21427e-05         -0.000254407           0.00247304 
                   5               136.61           -0.0457909           0.00499513         -0.000903348          0.000224099         -1.13285e-05         -0.000450944           0.00383348 
                 5.2              137.588           -0.0459804           0.00503714         -0.000918154          0.000244244         -0.000105536          0.000176126          -0.00104814 
                 5.4              138.271           -0.0461057            0.0050639         -0.000926205          0.000251319         -0.000135731          0.000384062          -0.00268751 
                 5.6              138.722           -0.0461832           0.00507907         -0.000927148          0.000236379         -3.98096e-05         -0.000279502           0.00254505 
                 5.8              139.004           -0.0462284           0.00508874         -0.000931796          0.000246138         -8.53747e-05          7.41412e-06          0.000352604 
                   6              139.168           -0.0462518           0.00509273         -0.000931838          0.000242757         -6.72184e-05         -0.000110785           0.00130278 
                 6.2              139.257           -0.0462631           0.00509453         -0.000931564          0.000239427         -4.87482e-05         -0.000222806           0.00206402 
                 6.4              139.302           -0.0462681           0.00509572         -0.000933597          0.000249034         -0.000105811          0.000169733          -0.00100825 
                 6.6              139.323             -0.04627            0.0050962         -0.000934376           0.00025227         -0.000123723          0.000290004          -0.00195489 
                 6.8              139.332           -0.0462705           0.00509601         -0.000933629          0.000249068         -0.000105613          0.000163356          -0.00091426 
                   7              139.335           -0.0462708           0.00509601          -0.00093301          0.000244791          -7.6474e-05         -5.28316e-05          0.000860715 
                 7.2              139.336           -0.0462707           0.00509555         -0.000931474          0.000238431         -4.49861e-05          -0.00023388           0.00204232 
                 7.4              139.337            -0.046271            0.0050963         -0.000933998           0.00024954         -0.000105447          0.000157172         -0.000883622 
                 7.6              139.337           -0.0462706           0.00509562         -0.000932304          0.000244085         -8.40295e-05          5.97056e-05         -0.000393823 
                 7.8              139.337           -0.0462708           0.00509608         -0.000933803          0.000250336         -0.000115868          0.000251785          -0.00173499 
                   8              139.337           -0.0462708           0.00509589         -0.000933143           0.00024743         -0.000100406          0.000154918          -0.00103476 
                 8.2              139.337           -0.0462708           0.00509596         -0.000933574          0.000249941         -0.000116553          0.000271447          -0.00197677 
                 8.4              139.337           -0.0462708           0.00509596         -0.000933574          0.000249941         -0.000116553          0.000271447          -0.00197677 
                 8.6              139.337           -0.0462708           0.00509596         -0.000933574          0.000249941         -0.000116553          0.000271447          -0.00197677 
                 8.8              139.337           -0.0462708           0.00509596         -0.000933574          0.000249941         -0.000116553          0.000271447          -0.00197677 
                   9              139.337           -0.0462708           0.00509596         -0.000933574          0.000249941         -0.000116553          0.000271447          -0.00197677 
