                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              4.98432           -0.0029541           2.0737e-05          8.16962e-06         -3.84466e-05          0.000210233          -0.00135039           0.00998389 
                 0.4              9.97884          -0.00563449          8.14744e-05          5.98065e-06         -3.79984e-05          0.000217631          -0.00146664            0.0113897 
                 0.6              14.9939           -0.0078652           0.00016318         -9.87734e-06          2.16288e-05         -0.000128972          0.000903107          -0.00719191 
                 0.8              20.0401          -0.00960073          0.000238068         -4.53092e-06         -2.16466e-05          0.000106432         -0.000593965           0.00377234 
                   1              25.1281           -0.0109034          0.000304893         -9.55503e-06         -2.22261e-05          0.000131212         -0.000866181           0.00654182 
                 1.2              30.2691           -0.0118728          0.000358081          -1.6426e-05         -2.37206e-06          3.44245e-06          6.30643e-05         -0.000999503 
                 1.4              35.4742           -0.0126086          0.000400714         -2.34283e-05          1.25105e-05         -5.93361e-05          0.000370154          -0.00264502 
                 1.6              40.7543            -0.013185          0.000432106         -2.16566e-05         -1.52131e-06         -5.40801e-06          0.000169771          -0.00219449 
                 1.8                46.12           -0.0136569          0.000459533         -2.42107e-05         -8.52124e-07          1.87337e-06          6.29228e-05         -0.000977031 
                   2              51.5808           -0.0140596          0.000483773         -2.84544e-05          9.59854e-06         -5.20775e-05          0.000406523          -0.00355204 
                 2.2              57.1443           -0.0144159          0.000503797         -2.56964e-05         -1.18525e-05          7.47529e-05         -0.000458788           0.00319122 
                 2.4              62.8161           -0.0147442          0.000525434         -3.54861e-05          3.02566e-05         -0.000173366           0.00122865          -0.00983215 
                 2.6              68.5986           -0.0150545          0.000543434         -3.22558e-05           5.1036e-06         -1.33822e-05          6.58803e-05         -0.000287827 
                 2.8              74.4909           -0.0153566          0.000561921         -3.17891e-05         -2.48218e-06          2.08858e-05         -0.000102411          0.000582871 
                   3              80.4885           -0.0156567          0.000582021         -3.40794e-05         -4.90753e-06          6.10348e-05         -0.000504559           0.00449624 
                 3.2              86.5837           -0.0159575          0.000602388         -3.78824e-05          9.34356e-06         -3.59998e-05          0.000229901           -0.0016697 
                 3.4              92.7667           -0.0162625          0.000624578         -4.27524e-05          2.15487e-05          -9.6899e-05          0.000605233           -0.0043904 
                 3.6              99.0251           -0.0165698          0.000642897         -3.14466e-05         -3.68189e-05          0.000217985          -0.00139444            0.0102659 
                 3.8              105.346           -0.0168847          0.000669706         -4.59532e-05          1.87002e-05         -8.28126e-05          0.000533085          -0.00395398 
                   4              111.716           -0.0172029          0.000693822          -4.7218e-05          1.52351e-05         -7.01512e-05          0.000505356          -0.00415422 
                 4.2              118.119           -0.0175255          0.000719891         -5.16258e-05          2.26127e-05         -9.75624e-05          0.000601471          -0.00426027 
                 4.4              124.541           -0.0178516          0.000745056         -4.83294e-05         -5.01843e-06          5.44399e-05         -0.000350233           0.00249934 
                 4.6              130.966           -0.0181811            0.0007726         -5.01582e-05         -1.17283e-05          0.000105692         -0.000760106           0.00611296 
                 4.8              137.377           -0.0185124          0.000800002         -4.93459e-05         -2.62198e-05          0.000173522          -0.00111379            0.0081461 
                   5              143.761           -0.0188463          0.000830812         -5.72062e-05          -4.8066e-06          5.97939e-05         -0.000397256            0.0029896 
                 5.2              150.101           -0.0191816           0.00086297         -6.60754e-05          1.71084e-05         -4.47697e-05          0.000214267          -0.00120605 
                 5.4              156.386           -0.0195157          0.000890683         -5.85029e-05          -2.8839e-05          0.000193464          -0.00124599           0.00922605 
                 5.6              162.601           -0.0198527          0.000922119         -5.84439e-05         -5.15681e-05          0.000343074          -0.00231143            0.0176717 
                 5.8              168.733            -0.020193          0.000958543         -7.71751e-05          2.05709e-05         -6.75386e-05          0.000429186          -0.00325063 
                   6               174.77            -0.020536          0.000992741         -8.48316e-05          4.25417e-05         -0.000204355           0.00139775           -0.0108843 
                 6.2              180.694           -0.0208847            0.0010254         -7.95435e-05         -3.89057e-06          6.45125e-05         -0.000376236           0.00243902 
                 6.4              186.484           -0.0212433           0.00106273         -8.50742e-05         -6.80477e-06          0.000120192         -0.000939296           0.00797836 
                 6.6              192.116           -0.0216124           0.00110236         -9.64836e-05          2.96694e-05         -0.000102437          0.000634912          -0.00457877 
                 6.8              197.555           -0.0219944            0.0011435         -0.000103495          3.88597e-05         -0.000151951          0.000969094          -0.00713016 
                   7              202.764           -0.0223887            0.0011848         -0.000102306          1.01262e-05         -7.85491e-07          6.01214e-05         -0.000839898 
                 7.2              207.699           -0.0227951           0.00122886         -9.74825e-05         -5.03281e-05          0.000380992          -0.00264509            0.0208169 
                 7.4              212.313           -0.0232101           0.00128132         -0.000117859          1.37326e-05          2.36722e-05         -0.000272687           0.00275309 
                 7.6              216.563            -0.023625           0.00133333         -0.000127263          2.05044e-05         -1.97032e-06         -0.000118317            0.0016303 
                 7.8               220.41           -0.0240287            0.0013824         -0.000125417         -1.86085e-05          0.000197721          -0.00128724           0.00955877 
                   8              223.825           -0.0244148           0.00143657         -0.000140699          1.09076e-05           4.8426e-05         -0.000322543           0.00226973 
                 8.2              226.796           -0.0247692           0.00148843         -0.000155392           3.4176e-05         -4.33201e-05          0.000120415         -4.55022e-05 
                 8.4              229.327           -0.0250801           0.00153263         -0.000159797          2.08531e-05          2.99833e-05         -0.000310786           0.00291964 
                 8.6              231.431           -0.0253432           0.00157321         -0.000171576          4.53362e-05         -0.000112367          0.000711859          -0.00542781 
                 8.8               233.13           -0.0255541           0.00160154         -0.000161528         -3.14499e-05           0.00033675          -0.00229956            0.0176654 
                   9              234.458           -0.0257191           0.00163024         -0.000179935          3.46893e-05         -3.66023e-05          0.000198925          -0.00147998 
                 9.2              235.455           -0.0258386           0.00164489         -0.000168942         -3.31558e-05          0.000352715          -0.00238751            0.0182266 
                 9.4              236.171           -0.0259243           0.00165972         -0.000177471         -9.34618e-06          0.000242955           -0.0017715            0.0142173 
                 9.6               236.66           -0.0259805           0.00166955         -0.000186832          3.29646e-05         -1.54454e-05          4.72615e-05         -0.000269235 
                 9.8              236.974           -0.0260146           0.00167221         -0.000178047         -1.49523e-05          0.000266193          -0.00186494            0.0145417 
                  10              237.164           -0.0260357           0.00167797         -0.000189727          3.75288e-05         -3.00205e-05          0.000101576         -0.000457978 
                10.2              237.271           -0.0260458            0.0016781         -0.000185421          1.68356e-05          8.56829e-05         -0.000660221           0.00531775 
                10.4              237.327           -0.0260514           0.00167984         -0.000189272          3.36834e-05         -6.85467e-06          -5.9275e-05          0.000820741 
                10.6              237.354            -0.026054           0.00168115         -0.000193058          5.03745e-05         -9.60577e-05          0.000499739          -0.00320599 
                10.8              237.366           -0.0260543           0.00167952           -0.0001867           2.0947e-05          6.81029e-05         -0.000575218            0.0048828 
                  11              237.371           -0.0260552           0.00168069         -0.000190399          3.70126e-05         -1.85887e-05         -1.83717e-05          0.000740012 
                11.2              237.372           -0.0260551            0.0016807         -0.000191834          4.86502e-05         -0.000105731          0.000672802          -0.00523556 
                11.4              237.373            -0.026055            0.0016805         -0.000191203          4.59834e-05         -9.17136e-05          0.000584935          -0.00459622 
                11.6              237.373           -0.0260551           0.00168085         -0.000192287          5.02062e-05         -0.000111728          0.000696819          -0.00531728 
                11.8              237.373           -0.0260552           0.00168095         -0.000192636          5.17502e-05         -0.000120107          0.000750811           -0.0057199 
                  12              237.373           -0.0260552           0.00168095         -0.000192636           5.1749e-05         -0.000120066          0.000750249          -0.00571291 
                12.2              237.373           -0.0260552           0.00168096         -0.000192682          5.20017e-05         -0.000121604          0.000760843          -0.00579515 
                12.4              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                12.6              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                12.8              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                  13              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                13.2              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                13.4              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                13.6              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                13.8              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
                  14              237.373           -0.0260552           0.00168096         -0.000192685          5.20076e-05         -0.000121619          0.000760833           -0.0057943 
