            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        7.10335      -0.006159       0.000101   -1.46545e-05    5.95451e-05   -0.000349382     0.00238878     -0.0186497
           0.4        14.2524      -0.011841       0.000363    -2.3481e-05      2.481e-05   -0.000130294    0.000831111    -0.00600535
           0.6        21.4898      -0.016728       0.000721    -6.2022e-05    6.12201e-05   -0.000343416     0.00238263     -0.0186609
           0.8        28.8522      -0.020722       0.001094   -9.10451e-05   -1.65487e-05    0.000174125    -0.00124903      0.0100298
             1        36.3675      -0.023913       0.001443   -0.000141597    6.97316e-06    6.60885e-05   -0.000430041     0.00310351
           1.2        44.0528      -0.026481       0.001748    -0.00018339   -1.00966e-05    0.000233082    -0.00166859      0.0132698
           1.4        51.9132      -0.028617       0.002017   -0.000228445    1.24467e-05    0.000133102   -0.000897037     0.00652937
           1.6        59.9407      -0.030475       0.002261   -0.000267502    1.50153e-05    0.000159094    -0.00106057      0.0076783
           1.8        68.1154      -0.032163       0.002494   -0.000308032    2.53158e-05    0.000147028    -0.00100675     0.00745286
             2        76.4055      -0.033749       0.002727   -0.000356376     5.9755e-05    1.62905e-05   -0.000194377     0.00138166
           2.2        84.7691      -0.035269       0.002963   -0.000410657    0.000117574   -0.000265503     0.00171832     -0.0135626
           2.4        93.1557      -0.036742       0.003201   -0.000453482    0.000100824   -9.44888e-05    0.000498752    -0.00383072
           2.6        101.507      -0.038177       0.003446   -0.000505605    0.000118046    -0.00014126    0.000925623    -0.00804922
           2.8        109.761      -0.039575       0.003696   -0.000560389    0.000124894   -7.93753e-05    0.000381012    -0.00319809
             3        117.849      -0.040934        0.00395    -0.00062233    0.000153296   -0.000134005    0.000616049    -0.00433874
           3.2        125.702      -0.042249       0.004202   -0.000676996    0.000141963     2.0445e-05   -0.000398469     0.00304094
           3.4        133.252      -0.043517       0.004453   -0.000733869    0.000130686    0.000197131    -0.00164884      0.0127086
           3.6         140.43      -0.044735       0.004706   -0.000812612    0.000221121   -0.000204465     0.00094208    -0.00673193
           3.8        147.171      -0.045892       0.004948   -0.000872737    0.000228367   -0.000156303    0.000699875     -0.0057167
             4         153.42      -0.046982       0.005182   -0.000928268    0.000200685     0.00015713    -0.00163364      0.0132116
           4.2        159.133      -0.047995       0.005408   -0.000999555    0.000265553   -9.19663e-05   -5.87422e-05     0.00137346
           4.4        164.283      -0.048922       0.005617    -0.00106116    0.000308573   -0.000264758     0.00122579     -0.0094928
           4.6        168.858      -0.049761        0.00581    -0.00111231     0.00029806   -6.17293e-05   -0.000359937     0.00371539
           4.8        172.861      -0.050508       0.005988    -0.00117036    0.000346585   -0.000238522    0.000783536    -0.00515211
             5        176.308       -0.05116       0.006147    -0.00121813    0.000358282   -0.000191417    0.000354185    -0.00157994
           5.2        179.221      -0.051713       0.006284    -0.00125715    0.000362473   -0.000154132    0.000182147   -0.000877219
           5.4        181.625      -0.052171       0.006402    -0.00129618    0.000382784    -0.00018802    0.000369093    -0.00240618
           5.6        183.551      -0.052538       0.006497    -0.00132247    0.000363675    1.92865e-05    -0.00119891      0.0104624
           5.8         185.04      -0.052821       0.006571     -0.0013476    0.000379032   -2.54154e-05   -0.000865681     0.00746742
             6        186.145      -0.053031       0.006627    -0.00137125    0.000411486   -0.000165339     2.5077e-05    0.000755325
           6.2        186.928      -0.053177       0.006663    -0.00137917    0.000399749   -8.80903e-05   -0.000418795     0.00361647
           6.4        187.454      -0.053274       0.006688    -0.00138991    0.000416116   -0.000161197    3.89197e-05    0.000268068
