            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        2.12319      -0.001697        1.1e-05   -1.27822e-05    5.88224e-05   -0.000330158     0.00217997      -0.016556
           0.4        4.26147      -0.003274        2.7e-05    3.98051e-06   -2.48051e-05    0.000162827    -0.00121784      0.0102467
           0.6         6.4295      -0.004652        5.6e-05    8.79008e-07   -1.17901e-05    7.46382e-05   -0.000527443      0.0041823
           0.8        8.64094      -0.005795        8.6e-05    1.64934e-06   -1.94934e-05    0.000124764   -0.000934246      0.0079495
             1         10.908      -0.006718       0.000115    1.94071e-06   -2.64071e-05    0.000153847    -0.00102305       0.007699
           1.2        13.2407      -0.007462       0.000141    2.38272e-07   -2.53827e-05    0.000159398    -0.00113717     0.00916017
           1.4        15.6468      -0.008078       0.000165   -8.28191e-06    1.78191e-05   -0.000124114    0.000966397    -0.00831175
           1.6        18.1306      -0.008611       0.000185     -4.839e-06     -1.561e-05    0.000122569   -0.000978893     0.00845311
           1.8        20.6935      -0.009095       0.000205    -1.2307e-05    2.70701e-05   -0.000172889      0.0012753     -0.0105944
             2        23.3335      -0.009554       0.000224   -1.09028e-05    8.02826e-06   -3.14468e-05    0.000160415   -0.000978752
           2.2        26.0454      -0.010001       0.000241   -2.40085e-06   -3.69915e-05     0.00022563    -0.00155911      0.0122138
           2.4        28.8208      -0.010447       0.000263   -7.82462e-06   -2.07538e-05     0.00015183    -0.00117228     0.00997338
           2.6        31.6492      -0.010894       0.000285   -1.07968e-05   -8.03204e-06    5.77748e-05   -0.000424906     0.00348683
           2.8        34.5176      -0.011344       0.000309   -1.70995e-05    2.19947e-05   -0.000142067     0.00105496    -0.00870542
             3        37.4115      -0.011797       0.000333   -1.27165e-05   -1.68355e-05     0.00012266   -0.000932138     0.00786121
           3.2        40.3152      -0.012251        0.00036    -1.9853e-05      1.253e-05   -5.75172e-05    0.000325212    -0.00202405
           3.4        43.2119      -0.012704       0.000385   -1.27499e-05   -3.25011e-05    0.000207715    -0.00148141      0.0120107
           3.6        46.0847      -0.013156       0.000414   -1.85416e-05   -1.15844e-05     7.1305e-05   -0.000471042     0.00366393
           3.8        48.9168      -0.013605       0.000445   -2.95252e-05    3.52521e-05   -0.000224298     0.00168479     -0.0141272
             4        51.6914      -0.014049       0.000472   -1.89625e-05   -3.53746e-05    0.000222438    -0.00154186      0.0122118
           4.2        54.3921       -0.01449       0.000503   -2.37418e-05    -2.4582e-05    0.000161492    -0.00113222     0.00906147
           4.4        57.0024      -0.014929       0.000538   -4.07864e-05    4.38642e-05   -0.000235307      0.0015887     -0.0123926
           4.6         59.505      -0.015363       0.000566   -2.83189e-05   -2.98115e-05    0.000192914    -0.00131898      0.0102829
           4.8        61.8832      -0.015797         0.0006   -3.59024e-05   -6.97554e-06    6.02477e-05    -0.00041877      0.0033495
             5        64.1209       -0.01623       0.000636   -4.56506e-05    2.15058e-05   -9.36949e-05    0.000594485    -0.00444597
           5.2        66.2036       -0.01666        0.00067   -4.38174e-05      -8.26e-07    1.87888e-05    -6.3834e-05    5.05888e-05
           5.4        68.1185      -0.017087       0.000708   -4.87532e-05   -3.46784e-06    6.63392e-05      -0.000529      0.0044778
           5.6        69.8553      -0.017505       0.000748    -5.9593e-05    3.19303e-05   -0.000153095      0.0010423    -0.00818379
           5.8        71.4059      -0.017905       0.000785   -5.52597e-05   -1.04035e-05    9.05721e-05   -0.000593551     0.00451936
             6        72.7594      -0.018281       0.000825   -6.25033e-05     -9.675e-07    3.83376e-05   -0.000206702     0.00121703
           6.2        73.9041      -0.018623       0.000863   -6.85738e-05   -3.26196e-06    9.20191e-05   -0.000781596     0.00713287
           6.4        74.8352      -0.018922       0.000894   -6.25628e-05    -5.0372e-05    0.000339225    -0.00226066      0.0172257
           6.6        75.5589      -0.019173       0.000923   -6.62225e-05   -5.07748e-05    0.000331495    -0.00211234      0.0153645
           6.8        76.0929      -0.019373       0.000952   -8.87256e-05     3.3256e-05   -0.000113199    0.000678008    -0.00482027
             7        76.4645      -0.019518       0.000968   -8.47162e-05    2.16164e-06    6.26651e-05   -0.000466238     0.00372273
           7.2        76.7068      -0.019616       0.000979   -8.29513e-05    -1.2487e-05    0.000139623   -0.000943838     0.00719951
           7.4        76.8541      -0.019678       0.000989   -9.32626e-05    3.36256e-05   -0.000141718      0.0010699     -0.0092228
           7.6         76.937      -0.019712       0.000993   -9.36644e-05    3.16438e-05   -0.000114096    0.000751005    -0.00566692
           7.8          76.98       -0.01973       0.000996   -9.66866e-05    4.38655e-05   -0.000183377     0.00122173    -0.00936384
             8        77.0003      -0.019738       0.000996   -9.18802e-05    1.78022e-05   -2.83171e-05    0.000174727    -0.00138885
           8.2         77.009      -0.019741       0.000996   -9.11805e-05    1.48045e-05   -6.87976e-06   -2.11996e-05    0.000604766
           8.4        77.0124      -0.019742       0.000995   -8.69077e-05   -2.92312e-06    7.53567e-05   -0.000438864      0.0028152
           8.6        77.0136      -0.019743       0.000997   -9.37731e-05    2.57311e-05   -6.65078e-05    0.000378899    -0.00257699
           8.8        77.0139      -0.019743       0.000997   -9.47534e-05    3.45337e-05    -0.00013679    0.000961559    -0.00777653
