                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              5.65252          -0.00470984          5.80626e-05          -2.6183e-06          6.52806e-06         -3.75195e-05          0.000260689            -0.002098 
                 0.4              11.3466          -0.00904644          0.000210284         -1.42774e-06         -3.03263e-05          0.000167971           -0.0010885           0.00817034 
                 0.6              17.1226           -0.0127625          0.000420706          -2.3139e-05          3.17708e-06         -1.59964e-05          0.000144715          -0.00132051 
                 0.8              23.0189           -0.0157808          0.000642049         -5.50677e-05          6.15189e-05         -0.000331336           0.00221598           -0.0169383 
                   1                29.07           -0.0181692          0.000841943         -7.50292e-05          5.42758e-05         -0.000257141           0.00163314           -0.0119926 
                 1.2               35.305           -0.0200707           0.00101104          -8.0912e-05         -8.57385e-06          0.000115244          -0.00085833           0.00717432 
                 1.4               41.746           -0.0216415           0.00116168         -0.000101411          3.49015e-06          6.28802e-05         -0.000488846           0.00404062 
                 1.6              48.4062           -0.0230061           0.00129744         -0.000121895          2.57343e-05         -5.84512e-05          0.000351493          -0.00251737 
                 1.8               55.289           -0.0242563            0.0014252         -0.000133553          5.57435e-06          6.04316e-05         -0.000373126           0.00252711 
                   2               62.387           -0.0254523           0.00155449         -0.000148428         -6.71775e-06          0.000154681          -0.00104757           0.00797124 
                 2.2              69.6823           -0.0266297           0.00168974         -0.000167202         -9.61507e-06          0.000207432          -0.00150666            0.0121841 
                 2.4              77.1472           -0.0278081           0.00183539         -0.000197518          3.84071e-05         -6.32518e-05          0.000415782          -0.00339822 
                 2.6              84.7457           -0.0289941           0.00198915         -0.000222595          4.32234e-05         -5.38446e-05          0.000283122           -0.0019176 
                 2.8              92.4346            -0.030188           0.00215292          -0.00024995          4.54808e-05         -3.00418e-05           9.3399e-05         -0.000338575 
                   3              100.166           -0.0313849           0.00232639         -0.000281604          5.68958e-05         -6.80174e-05          0.000398609          -0.00309853 
                 3.2              107.887           -0.0325777           0.00251005         -0.000322216          9.06131e-05         -0.000198919            0.0011666          -0.00840692 
                 3.4              115.547           -0.0337554           0.00269586         -0.000352739          7.39439e-05         -8.09177e-05           0.00050541          -0.00423702 
                 3.6              123.093           -0.0349127           0.00288907         -0.000397186          0.000107658         -0.000219905           0.00141622           -0.0111764 
                 3.8              130.478           -0.0360418           0.00308234         -0.000434726          9.59322e-05         -7.74064e-05          0.000361038          -0.00257749 
                   4              137.654           -0.0371409           0.00327871         -0.000484903          0.000140533         -0.000263588           0.00156532           -0.0117336 
                 4.2              144.581           -0.0382088           0.00346915         -0.000514236          7.99273e-05          0.000158257          -0.00130062            0.0102459 
                 4.4              151.215           -0.0392531           0.00366471         -0.000565673          0.000126053         -4.75404e-05          0.000106543         -0.000843487 
                 4.6              157.508           -0.0402759           0.00386173         -0.000616541          0.000156538         -0.000138376          0.000639138          -0.00459781 
                 4.8              163.414           -0.0412747           0.00405832         -0.000660908           0.00014667          3.24818e-06         -0.000337129           0.00280578 
                   5              168.894           -0.0422445           0.00425673         -0.000711601          0.000157182           4.0216e-05         -0.000631567           0.00499768 
                 5.2              173.916           -0.0431777           0.00445491         -0.000768534          0.000195555         -8.83543e-05          0.000212057          -0.00158921 
                 5.4              178.463           -0.0440701           0.00465226         -0.000828156          0.000234497         -0.000193158          0.000812277          -0.00596696 
                 5.6              182.527           -0.0449148           0.00484475         -0.000879639          0.000229867         -5.07788e-05         -0.000199934           0.00177782 
                 5.8              186.108            -0.045704           0.00503497         -0.000937986           0.00024849         -2.39426e-05         -0.000473539           0.00395066 
                   6              189.199           -0.0464265           0.00521884          -0.00100381          0.000303421          -0.00019858           0.00057958          -0.00388061 
                 6.2               191.79           -0.0470727           0.00538904          -0.00106439          0.000340076         -0.000259864          0.000841423          -0.00552708 
                 6.4              193.882           -0.0476318           0.00553887          -0.00111371          0.000346494         -0.000163835          8.97333e-05          0.000383545 
                 6.6              195.501           -0.0480958             0.005666          -0.00115829          0.000366657         -0.000180916          0.000188241         -0.000686464 
                 6.8              196.693            -0.048461           0.00576914          -0.00119803          0.000393913         -0.000229057          0.000350774          -0.00127452 
                   7              197.523           -0.0487284           0.00584378          -0.00122074          0.000386127         -0.000130195         -0.000284739           0.00316522 
                 7.2              198.067           -0.0489111            0.0058976          -0.00124504          0.000418247         -0.000261324          0.000530687          -0.00288399 
                 7.4                198.4           -0.0490244           0.00592931          -0.00125299          0.000405403         -0.000162081         -0.000137954           0.00217613 
                 7.6              198.591           -0.0490899           0.00594915          -0.00126293          0.000420609         -0.000222661          0.000211527         -0.000253827 
                 7.8              198.691            -0.049124           0.00595971          -0.00126992           0.00043932         -0.000322707           0.00087853           -0.0053622 
                   8               198.74           -0.0491399           0.00596385          -0.00127046          0.000436153         -0.000304962          0.000774199          -0.00463829 
                 8.2              198.762           -0.0491467           0.00596539           -0.0012693          0.000426914         -0.000248452          0.000389868          -0.00168816 
                 8.4               198.77           -0.0491494           0.00596612          -0.00126956          0.000427312          -0.00025176          0.000422148          -0.00201082 
                 8.6              198.773           -0.0491504            0.0059668          -0.00127144          0.000435873         -0.000298967          0.000723903          -0.00420975 
                 8.8              198.775           -0.0491508            0.0059669          -0.00127117          0.000433572         -0.000283041           0.00060764          -0.00328052 
                   9              198.775           -0.0491508           0.00596664          -0.00127012           0.00042856         -0.000254407          0.000416359          -0.00181657 
                 9.2              198.775           -0.0491507            0.0059666          -0.00127037          0.000430784         -0.000270524          0.000536779          -0.00278923 
                 9.4              198.775           -0.0491507           0.00596661          -0.00127045          0.000431367         -0.000274916           0.00057266          -0.00311047 
                 9.6              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                 9.8              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                  10              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                10.2              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                10.4              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                10.6              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                10.8              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                  11              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                11.2              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                11.4              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                11.6              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                11.8              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
                  12              198.775           -0.0491507           0.00596662          -0.00127047          0.000431493         -0.000275646          0.000577656          -0.00315044 
