            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        1.91008      -0.001467          8e-06   -1.01241e-05    5.22414e-05   -0.000319667     0.00226066     -0.0181598
           0.4        3.82882      -0.002829          2e-05    2.80727e-06   -1.20727e-05     5.8121e-05   -0.000332906     0.00222152
           0.6        5.76481      -0.004014          4e-05    8.06305e-06   -4.16305e-05    0.000233627    -0.00152497      0.0113814
           0.8        7.72643      -0.004991        6.5e-05    1.24767e-06   -1.94767e-05     0.00013912    -0.00106847     0.00901399
             1        9.72166      -0.005766        8.5e-05    2.66425e-06   -1.96425e-05    9.94101e-05   -0.000604155     0.00431816
           1.2        11.7578      -0.006377       0.000108   -1.64903e-05    6.89026e-05   -0.000403405     0.00271974     -0.0208282
           1.4        13.8413      -0.006863       0.000122    -1.1422e-05    4.52197e-05   -0.000292492     0.00214226     -0.0175773
           1.6        15.9769      -0.007263       0.000131     5.0353e-06    -4.0353e-05    0.000215315    -0.00133655     0.00949925
           1.8         18.168       -0.00761       0.000143    2.53823e-06   -2.93823e-05    0.000147725   -0.000868089     0.00587751
             2        20.4159      -0.007924       0.000155   -4.64332e-06    8.43316e-06   -9.32208e-05    0.000877155    -0.00837027
           2.2        22.7196       -0.00822       0.000166   -4.44762e-06    -3.5238e-06    1.17172e-05   -1.30614e-05   -0.000377826
           2.4        25.0763      -0.008506       0.000176   -2.20403e-06   -1.99597e-05    0.000123685   -0.000870619     0.00696285
           2.6        27.4813      -0.008789       0.000189   -1.23568e-05    2.95677e-05   -0.000171498     0.00114886    -0.00868665
           2.8        29.9282      -0.009071         0.0002   -1.16605e-05    2.46053e-05   -0.000151879     0.00108692    -0.00877865
             3        32.4092      -0.009354       0.000211   -6.94742e-06   -7.52582e-06    6.16127e-05   -0.000499656     0.00439727
           3.2        34.9159      -0.009639       0.000225   -1.41143e-05    2.61433e-05   -0.000143857    0.000948948    -0.00719851
           3.4        37.4388      -0.009925       0.000239   -1.82338e-05    4.03378e-05   -0.000213747     0.00135322    -0.00990643
           3.6        39.9683       -0.01021       0.000249   -5.43852e-06   -2.36148e-05    0.000150886    -0.00109205     0.00897972
           3.8        42.4949      -0.010496       0.000264   -1.06812e-05     8.1216e-07   -5.60147e-06    5.83541e-05   -0.000583571
             4        45.0092      -0.010781       0.000279   -1.21317e-05    1.31709e-06   -5.51679e-06    6.85582e-05   -0.000847644
           4.2        47.5025      -0.011064       0.000295   -1.69233e-05    1.82334e-05   -9.57532e-05    0.000636307    -0.00495648
           4.4        49.9672      -0.011344        0.00031   -1.61789e-05     5.7888e-06   -7.29293e-06   -3.96725e-05    0.000731893
           4.6        52.3969      -0.011621       0.000324   -1.38807e-05   -3.19253e-06    1.63277e-05    -6.1666e-05    0.000131619
           4.8        54.7866      -0.011897        0.00034    -1.6902e-05    6.01982e-06   -3.12994e-05    0.000218207    -0.00171225
             5        57.1323      -0.012174       0.000356   -1.59311e-05   -9.68852e-06     8.0534e-05    -0.00063492     0.00545962
           5.2        59.4303      -0.012454       0.000372   -1.56024e-05   -1.49759e-05    0.000102648   -0.000737147     0.00595837
           5.4        61.6757      -0.012743        0.00039   -1.80899e-05    -1.2101e-05    9.69748e-05   -0.000744866     0.00625731
           5.6        63.8615      -0.013046       0.000409   -2.14671e-05    1.67084e-06   -3.67529e-06    6.17428e-05   -0.000840474
           5.8        65.9776       -0.01337       0.000429   -1.95403e-05   -1.65966e-05    0.000113288   -0.000818407     0.00674148
             6        68.0115      -0.013722       0.000455   -3.00857e-05    3.08572e-05   -0.000195147     0.00148508     -0.0126517
           6.2        69.9495      -0.014104       0.000484    -3.3454e-05    3.15401e-05   -0.000187668     0.00138433     -0.0115399
           6.4        71.7762      -0.014514       0.000516   -3.05944e-05   -1.05584e-06    1.85268e-05   -0.000124199     0.00105255
           6.6        73.4741       -0.01495       0.000556   -3.67056e-05      1.056e-06    2.40146e-05   -0.000196186     0.00164424
           6.8        75.0267        -0.0154       0.000599    -3.9381e-05     -1.219e-05    0.000103771   -0.000726245     0.00570355
             7        76.4098      -0.015854       0.000648   -5.04305e-05    9.30522e-06   -1.33692e-05    6.27055e-05   -0.000368036
           7.2         77.595      -0.016296       0.000699   -6.17023e-05    2.80228e-05   -0.000116682    0.000799938    -0.00643913
           7.4        78.5639      -0.016706       0.000747   -6.60337e-05    1.43371e-05   -2.83759e-05    0.000165497    -0.00111948
           7.6        79.3143      -0.017067       0.000794   -7.73354e-05     3.2354e-05   -0.000125062    0.000845141    -0.00662542
           7.8         79.861       -0.01736       0.000832     -7.864e-05        7.4e-06    2.83749e-05   -0.000209872      0.0017012
             8        80.2333       -0.01758       0.000864   -8.57108e-05    1.21076e-05    1.68503e-05   -0.000163154     0.00146658
           8.2        80.4688      -0.017729       0.000886   -8.74271e-05   -4.72859e-06    0.000143442    -0.00113679     0.00966132
           8.4        80.6063       -0.01782         0.0009   -9.14319e-05      7.319e-06     5.3952e-05   -0.000408487     0.00323659
           8.6        80.6798      -0.017871        0.00091   -0.000101402    5.20201e-05   -0.000227052     0.00164498     -0.0137171
           8.8        80.7156      -0.017895       0.000912   -9.45864e-05    1.38636e-05    5.68643e-06    -8.7779e-08   -0.000472307
             9        80.7314      -0.017906       0.000914   -9.54234e-05    1.32335e-05    2.73009e-05   -0.000254838     0.00224558
           9.2        80.7376       -0.01791       0.000914   -9.35958e-05     6.9579e-06    4.69357e-05    -0.00028423     0.00174918
           9.4        80.7398      -0.017912       0.000916   -0.000101245    4.64463e-05   -0.000193793      0.0014068     -0.0117252
           9.6        80.7405      -0.017912       0.000914   -9.12088e-05   -8.91192e-06    0.000156395    -0.00111954     0.00883964
           9.8        80.7407      -0.017912       0.000914   -9.21909e-05   -1.09104e-06    0.000100953   -0.000709459     0.00556146
