                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              5.27396           -0.0042297          4.68699e-05         -2.82141e-06          1.18128e-05         -7.62975e-05          0.000549669          -0.00442012 
                 0.4              10.5724           -0.0081123            0.0001719         -8.43705e-06          9.36399e-06         -4.28379e-05          0.000243095          -0.00161864 
                 0.6              15.9197           -0.0114126          0.000336885          -1.6244e-05          5.60312e-06         -5.71619e-05          0.000561154          -0.00548907 
                 0.8              21.3398           -0.0140604           0.00050823         -2.92178e-05          -4.0769e-07          1.20901e-06          5.98882e-05         -0.000830899 
                   1              26.8557           -0.0161163          0.000661532         -3.77424e-05         -3.75935e-05          0.000259867          -0.00183853            0.0146459 
                 1.2               32.489           -0.0177057          0.000791627         -5.73116e-05         -1.42202e-06          4.47382e-05         -0.000314506           0.00246579 
                 1.4              38.2589            -0.018964          0.000899054         -7.28824e-05           1.9023e-05         -6.00618e-05          0.000366102          -0.00263912 
                 1.6              44.1807           -0.0200024          0.000988361         -8.17597e-05          2.07036e-05         -8.44713e-05          0.000641983          -0.00543785 
                 1.8              50.2651           -0.0209055           0.00106883         -9.12561e-05          2.04515e-05         -6.25165e-05          0.000432799          -0.00349281 
                   2              56.5169           -0.0217283           0.00114307         -9.82255e-05          1.71559e-05         -5.19597e-05          0.000442262          -0.00408019 
                 2.2               62.934             -0.02251           0.00121705         -0.000107541          1.85718e-05         -4.10255e-05          0.000300316          -0.00254465 
                 2.4              69.5075            -0.023274           0.00129245         -0.000118203          2.60907e-05         -7.31792e-05           0.00049674          -0.00393916 
                 2.6              76.2214           -0.0240341           0.00136958         -0.000125017          1.36484e-05           3.3219e-06         -9.08327e-06         -4.53505e-05 
                 2.8              83.0541           -0.0247991           0.00145252         -0.000137344           1.9108e-05         -1.12878e-05          7.04926e-05         -0.000653731 
                   3              89.9784           -0.0255704            0.0015395         -0.000149091            1.836e-05          8.89102e-06          -9.6003e-05          0.000839364 
                 3.2              96.9638            -0.026348           0.00163155         -0.000162184          1.73157e-05          3.24348e-05         -0.000267743           0.00217953 
                 3.4              103.977           -0.0271284           0.00172907         -0.000181849          4.50005e-05         -0.000114363          0.000721654          -0.00543828 
                 3.6              110.982           -0.0279067           0.00182783         -0.000192004          2.18684e-05           2.8082e-05         -0.000197587           0.00137849 
                 3.8              117.946           -0.0286801           0.00193393         -0.000218176          6.53095e-05         -0.000189655           0.00120139          -0.00906261 
                   4              124.834           -0.0294408            0.0020389         -0.000234174          5.93986e-05         -0.000136847          0.000853815           -0.0064632 
                 4.2              131.617            -0.030185           0.00214363         -0.000246115          2.98061e-05          5.92575e-05         -0.000491294           0.00404055 
                 4.4              138.269           -0.0309108           0.00225073         -0.000268043          4.91507e-05         -4.43217e-05          0.000296631          -0.00269474 
                 4.6              144.769           -0.0316159           0.00235623         -0.000285282          3.74528e-05          6.92718e-05         -0.000600238           0.00506264 
                 4.8              151.105           -0.0323035           0.00246311         -0.000311473          6.95941e-05         -8.03198e-05          0.000345564           -0.0018791 
                   5              157.268           -0.0329783           0.00256654         -0.000326691          5.65722e-05         -1.47417e-05          0.000108085           -0.0014626 
                 5.2              163.253           -0.0336549           0.00267433         -0.000348171          5.93617e-05          8.37043e-06         -0.000106142          0.000490004 
                 5.4              169.051           -0.0343533           0.00279017         -0.000375053          7.63853e-05         -4.22601e-05          0.000148447         -0.000947634 
                 5.6              174.633           -0.0350992           0.00292469         -0.000411973          0.000106784          -0.00014543          0.000745759          -0.00515863 
                 5.8              179.951           -0.0358909            0.0030809         -0.000453946          0.000106385         -3.62015e-05         -4.61709e-05          0.000818401 
                   6              184.961           -0.0367029           0.00325172          -0.00051088          0.000137986         -5.88945e-05         -3.29842e-05          0.000729059 
                 6.2              189.639           -0.0375222           0.00342458         -0.000565032          0.000156392          -1.5345e-06         -0.000598876           0.00532402 
                 6.4              193.969           -0.0383537           0.00360347          -0.00062249          0.000198011         -0.000117746          0.000137657         -0.000728447 
                 6.6              197.933           -0.0392016           0.00379512         -0.000687572          0.000249933         -0.000247477          0.000722158          -0.00393345 
                 6.8              201.511           -0.0400564           0.00399763         -0.000752361          0.000284655         -0.000323342           0.00128192          -0.00921929 
                   7              204.662           -0.0409025           0.00421206         -0.000823796          0.000307267         -0.000249851          0.000500225          -0.00204193 
                 7.2               207.34           -0.0417168           0.00443102         -0.000902452          0.000347763         -0.000301962          0.000825171          -0.00529829 
                 7.4              209.515           -0.0424685           0.00464403         -0.000983484          0.000390917         -0.000334138          0.000859152          -0.00532784 
                 7.6              211.195           -0.0431258           0.00484007          -0.00106243          0.000441413         -0.000413234           0.00120824          -0.00779119 
                 7.8              212.418           -0.0436613           0.00500741           -0.0011291          0.000470323         -0.000388881           0.00087891          -0.00505695 
                   8              213.254           -0.0440625           0.00513747          -0.00117711          0.000466449         -0.000223463         -0.000289006           0.00360306 
                 8.2              213.787           -0.0443388           0.00523401          -0.00122409          0.000511411         -0.000345066          0.000343363         -0.000662038 
                 8.4              214.102           -0.0445101           0.00529503          -0.00125196          0.000527782          -0.00035328          0.000303243         -0.000111184 
                 8.6              214.274           -0.0446062           0.00532948          -0.00126637          0.000530294         -0.000327097          0.000132355          0.000929846 
                 8.8               214.36           -0.0446551           0.00534758          -0.00127509          0.000536052          -0.00033103          0.000114091           0.00124985 
                   9              214.399           -0.0446775           0.00535607          -0.00127996          0.000543258          -0.00036144          0.000312737         -0.000301129 
                 9.2              214.415           -0.0446868           0.00535973          -0.00128266          0.000549373         -0.000389666          0.000479729          -0.00142429 
                 9.4              214.421           -0.0446901           0.00536082          -0.00128256          0.000546629         -0.000374405          0.000393942         -0.000910563 
                 9.6              214.423           -0.0446912           0.00536116          -0.00128248          0.000545263         -0.000365165          0.000326928          -0.00036558 
                 9.8              214.424           -0.0446914           0.00536075           -0.0012806          0.000536479         -0.000316395          8.09425e-06           0.00203982 
                  10              214.424           -0.0446916            0.0053612          -0.00128202          0.000542663         -0.000349936           0.00022522          0.000408484 
                10.2              214.424           -0.0446916            0.0053611          -0.00128156          0.000540242         -0.000335499          0.000127099           0.00116202 
                10.4              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178          -0.00034777          0.000214511           0.00046376 
                10.6              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                10.8              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                  11              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                11.2              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                11.4              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                11.6              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                11.8              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                  12              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                12.2              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                12.4              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                12.6              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                12.8              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                  13              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                13.2              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                13.4              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                13.6              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                13.8              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
                  14              214.424           -0.0446916           0.00536116          -0.00128189          0.000542178         -0.000347771          0.000214521          0.000463615 
