            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        11.7562       -0.01247       0.000393   -1.87519e-05    -3.4812e-06    7.34909e-06    7.31951e-05    -0.00138658
           0.4        23.5317      -0.024088       0.001467   -0.000154131    5.43141e-05    -0.00021688     0.00155449     -0.0127487
           0.6        35.3344      -0.034267       0.002951   -0.000414209    4.50914e-05    0.000214796    -0.00161631       0.012653
           0.8        47.1514      -0.042815       0.004573   -0.000801723    0.000167233    0.000130673     -0.0012736     0.00986404
             1        58.9408      -0.049871       0.006142    -0.00124594     0.00035442   -0.000130047    6.59375e-05   -5.17489e-05
           1.2         70.629      -0.055751       0.007587    -0.00169928    0.000559777   -0.000378046     0.00116843    -0.00801273
           1.4        82.1116      -0.060784       0.008909    -0.00212881    0.000701106   -0.000237152   -0.000318891     0.00367918
           1.6        93.2597      -0.065236       0.010155    -0.00257602    0.000943218    -0.00061787     0.00160439     -0.0107255
           1.8        103.928      -0.069273       0.011345    -0.00300987      0.0011117   -0.000535077    0.000485309    -0.00267236
             2        113.956      -0.072999       0.012504    -0.00345774     0.00130636   -0.000492784   -0.000651626     0.00699467
           2.2         123.17       -0.07645        0.01364     -0.0039289        0.00157   -0.000760677    0.000177698     0.00174038
           2.4        131.417      -0.079575       0.014724    -0.00439318     0.00180076   -0.000773996   -0.000827447      0.0109855
           2.6        138.619      -0.082314       0.015719    -0.00484504     0.00207643    -0.00107788    0.000193978      0.0039752
           2.8        144.767      -0.084654       0.016601    -0.00525912     0.00233772    -0.00136418     0.00104298    -0.00111754
             3        149.881      -0.086617       0.017363    -0.00561772       0.002524    -0.00132176    -0.00027525      0.0105871
           3.2        153.998      -0.088232        0.01801    -0.00593981     0.00274808    -0.00166841     0.00141375    -0.00304867
           3.4        157.188      -0.089521       0.018539     -0.0062095     0.00293347     -0.0018984     0.00220246    -0.00820193
           3.6        159.552      -0.090508       0.018953    -0.00642854     0.00310066    -0.00216765     0.00333034     -0.0158929
           3.8        161.219      -0.091221       0.019252     -0.0065719     0.00312912    -0.00179837    0.000281832     0.00852738
             4        162.331      -0.091704       0.019458    -0.00667879     0.00319062    -0.00178857   -0.000165376      0.0126685
           4.2        163.029      -0.092007       0.019589    -0.00675299      0.0032653    -0.00200271     0.00111226     0.00274914
           4.4        163.439      -0.092181       0.019663    -0.00679105     0.00328745    -0.00201039     0.00109277     0.00270023
           4.6        163.664      -0.092273       0.019703    -0.00681552     0.00331837    -0.00211074     0.00163948   -0.000991715
           4.8        163.777      -0.092317       0.019722    -0.00682834      0.0033435    -0.00224005      0.0025727    -0.00877427
             5        163.831      -0.092336        0.01973    -0.00683295     0.00334734    -0.00223935     0.00249735    -0.00780134
           5.2        163.853      -0.092343       0.019732    -0.00683131       0.003335    -0.00217028     0.00206038    -0.00461152
           5.4        163.862      -0.092346       0.019734    -0.00683474     0.00334609    -0.00221733     0.00228861    -0.00578367
           5.6        163.865      -0.092346       0.019732    -0.00682637      0.0033066    -0.00199528    0.000827533     0.00524771
           5.8        163.866      -0.092347       0.019734    -0.00683279      0.0033341    -0.00214168     0.00175983    -0.00166967
             6        163.867      -0.092346       0.019731    -0.00682219     0.00328765    -0.00189581    0.000227467     0.00933745
           6.2        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           6.4        163.867      -0.092346       0.019731    -0.00682219     0.00328755    -0.00189431    0.000209967     0.00953345
           6.6        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           6.8        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
             7        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           7.2        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           7.4        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           7.6        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
           7.8        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
             8        163.867      -0.092347       0.019734    -0.00683279      0.0033336    -0.00213418     0.00167233   -0.000687854
